Pays,Population totale (en milliers),Population de 65 ans et plus (en milliers)
Canada,36958,6418.71
Etats-Unis,328836,52268.7
,,
Europe de l'Est,291277,46302.3
Europe de l'Ouest,192169,39770.7
Europe du Nord,104064,19260.9
Europe du Sud,151986,32047.4
Australie / Nouvelle Zélande,29613,4685.96
Mélanésie,10172,383.289
Micronésie,542,37.734
Polynésie,700,49.471
OCÉANIE,41027,5156.46
Asie de l'Est,1630420,203778
Asie de l'Ouest,270494,14981.9
Asie du Centre et du Sud,1964130,114188
Asie du Sud-Est,654404,42420.2
Afrique australe,"64418,2",3289.4
Afrique centrale,166037,4880.87
Afrique occidentale,382463,10772.8
Afrique orientale,428064,13662.9
Afrique septentrionale,236310,13096.8
Amérique centrale,179469,12382.4
Amérique du Sud,430486,37513.8
Caraïbes,44036,4423.41
